Tm_ServiceCode; Title
00009; Заключение ДПиООС (Мосприрода)
100; Справка о замене паспорта с указанием причины
10000; Выписка/Расписка о регистрации обращения
10001; Выписка из журнала о получении итогового документа
10002; Доверенность
10003; Выписка о приеме документов
10004; Уведомление заявителя
10005; Уведомление о госпитализации
10006; Уведомление по охотничьим билетам
10007; Уведомление заявителя о регистрации
10008; Уведомление по парковкам
10009; Уведомление по БТИ
10010; Уведомление по частичной компенсации
100100; Поручение
10011; Уведомление по услугам ДСЗН
10012; Данные заявителя по услуге БТИ
10013; Уведомление
10014; Уведомление по тяжеловесам
10015; Уведомление об ожидании оплаты - тяжеловесы
10016; Уведомление об отказе в предоставлении услуги по тяжеловесам
10017; Сведения о наличии самоходной техники у физических и юридических лиц
10018; Уведомление по детскому отдыху
10019; Заявление по услугам ГИБДД
10020; Справка о рождении формы № 24
10021; Справка о рождении формы № 26
10022; Уведомление по архивным справкам
10023; Справка о смерти формы № 33
10024; Справка о смерти формы № 34
10027; Справка о заключении брака формы № 27
10028; Справка о заключении брака формы № 28
10029; Справка о расторжении брака формы № 29
10031; Справка о перемене имени формы № 32
10035; Удостоверение Героя СССР, Героя РФ или орденская книжка полного кавалера ордена Славы
10036; Удостоверение Героя Социалистического Труда или орденская книжка полного кавалера ордена Трудовой Славы
10037; Удостоверение инвалида Отечественной войны
10038; Удостоверение участника Великой Отечественной войны
10039; Удостоверение ветерана Великой Отечественной войны
10040; Справка о праве на государственную социальную стипендию для малообеспеченных студентов
10041; Удостоверение к знаку «Жителю блокадного Ленинграда»
10042; Удостоверение о праве на льготы, установленные для бывших несовершеннолетних узников фашизма
10043; Удостоверение ветерана боевых действий
10044; Свидетельство о праве на льготы ветеранам боевых действий
10045; Удостоверение ветерана труда
10046; Удостоверение ветерана военной службы
10047; Удостоверение к медали «За оборону Москвы»
10048; Справка о праве на льготы участнику обороны Москвы в соответствии с распоряжением Мэра Москвы от 2 ноября 1994 г. №545-РМ
10049; Свидетельство о праве на льготы реабилитированным гражданам
10050; Свидетельство о праве на льготы для лиц, признанных пострадавшими от политических репрессий
10051; Удостоверение инвалида о праве на льготы
10052; Удостоверение о праве на льготы членам семей погибших военнослужащих
10053; Удостоверение участника ликвидации последствий катастрофы на Чернобыльской АЭС
10054; Удостоверение перенесшего(ей) лучевую болезнь или другие заболевания, связанные с радиационным воздействием, ставшего инвалидом
10055; Удостоверение эвакуированного, переселенного, выехавшего добровольно из зон радиоактивного загрязнения вследствие катастрофы на ЧАЭС
10056; Удостоверение ветерана подразделений особого риска
10057; Удостоверение участника ликвидации последствий аварии на производственном объединении «Маяк» и сбросов радиоактивных отходов в реку Теча
10058; Удостоверение эвакуированного, переселенного, выехавшего добровольно из населенных пунктов, подвергшихся радиоактивному загрязнению вследствие аварии на ПО «Маяк» и сбросов радиоактивных отходов в рек
10059; Удостоверение подвергшегося радиационному воздействию вследствие ядерных испытаний на Семипалатинском полигоне
10060; Удостоверение к нагрудному знаку «Почетный донор России» или «Почетный донор СССР»
10061; Удостоверение почетного гражданина Москвы
10062; Справка о факте получения, неполучения (или о размере) пособий, компенсаций и других социальных выплат
10063; Распоряжение Департамента жилищной политики и жилищного фонда города Москвы о принятии на жилищный учет в качестве нуждающихся в жилых помещениях, предоставляемых по договору социального найма или по
10064; Распоряжение Департамента жилищной политики и жилищного фонда города Москвы о принятии на жилищный учет в качестве нуждающихся в содействии города Москвы в приобретении жилых помещений в рамках городс
10065; Распоряжение Департамента жилищной политики и жилищного фонда города Москвы о внесении изменений в учетное дело очередника
10067; Распоряжение Департамента жилищной политики и жилищного фонда города Москвы о снятии с жилищного учета в связи с самостоятельным улучшением гражданами жилищных условий
10068; Договор найма жилого помещения
10069; Договор безвозмездного пользования жилым помещением
10070; Договор найма жилого помещения в общежитии
10071; Договор пользования местом в общежитии
10072; Договор найма жилого помещения (в бездотационном доме жилищного фонда города Москвы)
10073; Договор найма служебного жилого помещения
10074; Договор купли-продажи жилого помещения
10075; Договор купли-продажи с рассрочкой платежа жилого помещения
10076; Договор мены c оплатой разницы в стоимости жилых помещений с рассрочкой платежа
10077; Договор купли-продажи жилого помещения с использованием ипотечного жилищного кредитования
10078; Дополнительное соглашение к договору
10079; Заверенная копия распоряжения органа исполнительной власти о предоставлении компенсации либо об отказе в предоставлении компенсации за наём жилого помещения на рынке недвижимости
10084; Справка об участии до 31 января 1998 г. в приватизации объекта жилищного фонда
10086; Финансово-лицевой счет нанимателя жилого помещения
10099; Разрешение на провоз тяжеловесных и крупногабаритных грузов по улично-дорожной сети города
101; Сведения об адресной истории дома
10101; Справка о наличии или отсутствии зарегистрированных прав на жилое помещение
1010100; тест_Справка о наличии или отсутствии зарегистрированных прав на жилое помещение
10102; Кадастровая выписка об объекте недвижимости
1010200; тест_Кадастровая выписка об объекте недвижимости
10103; Кадастровый паспорт объекта недвижимости
1010300; тест_Кадастровый паспорт объекта недвижимости
10105; Кадастровый паспорт земельного участка (выдаваемый ДЗР, не является документом БР)
10108; Разрешение на ввод объекта в эксплуатацию
10109; Заключение о соответствии построенного, реконструированного объекта капитального строительства требованиям технических регламентов и проектной документации, в том числе требованиям энергетической эффе
10110; Договор аренды земельного участка, заключаемый с правообладателями зданий, строений, сооружений, расположенных на участке, являющихся объектами незавершенного строительства и все дополнительные соглаш
