Tm_ServiceCode;Title
97;Автономные некоммерческие организации
73;Автономные учреждения
116;Акцион.общ-ва откр. типа (АООТ)
117;Акцион.общества закр.типа и ООО
60;Акционерные общества
72;Бюджетные учреждения
82;Государственные корпорации
111;Государственные предприятия
21;Государственные учреждения
68;Дочерние унитарные предприятия
28;Другие некоммерческие организации
124;Другие объединения
11Д;Другие предприятия
67;Закрытые акционерные общества
91;Индивидуальный предприниматель
1;КОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ
66;Общества с дополнительной ответственностью
65;Общества с ограниченной ответственностью
83;Общественные и религиозные организации (объединения)
23;Общественные объединения (организации)
99;ОРГАНИЗАЦИИ БЕЗ ПРАВ ЮРИДИЧЕСКОГО ЛИЦА
47;Открытые акционерные общества
85;Потребительские кооперативы
11;Предприятия
71;Частные учреждения
39;ЮРИДИЧЕСКИЕ ЛИЦА, ЯВЛЯЮЩИЕСЯ КОММЕРЧЕСКИМИ ОРГАНИЗАЦИЯМИ
70;ЮРИДИЧЕСКИЕ ЛИЦА, ЯВЛЯЮЩИЕСЯ НЕКОММЕРЧЕСКИМИ ОРГАНИЗАЦИЯМИ
